Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2023-04-27,191.7,0.0057,0,116000,0.0,609.8193,116902.35,17915.05
2023-04-28,192.45,0.0084,0,116000,0.0,609.8193,117359.72,18065.0
2023-05-02,196.23,0.0046,0,116000,0.0,609.8193,119664.83,18147.65
2023-05-03,194.15,-0.0032,7000,123000,36.0546,645.8739,125396.41,18089.85
2023-05-04,197.54,0.0092,0,123000,0.0,645.8739,127585.92,18255.8
2023-05-05,194.36,-0.0102,2000,125000,10.2902,656.164,127532.04,18069.0
2023-05-08,195.81,0.0108,0,125000,0.0,656.164,128483.48,18264.4
2023-05-09,195.5,0.0001,0,125000,0.0,656.164,128280.07,18265.95
2023-05-10,196.03,0.0027,0,125000,0.0,656.164,128627.84,18315.1
2023-05-11,197.54,-0.001,4000,129000,20.2491,676.4131,133618.64,18297.0
2023-05-12,197.94,0.001,0,129000,0.0,676.4131,133889.21,18314.8
2023-05-15,197.72,0.0046,0,129000,0.0,676.4131,133740.4,18398.85
2023-05-16,197.76,-0.0061,3000,132000,15.1699,691.583,136767.45,18286.5
2023-05-17,199.71,-0.0057,1000,133000,5.0073,696.5903,139116.04,18181.75
2023-05-18,198.0,-0.0028,1000,134000,5.0505,701.6408,138924.87,18129.95
2023-05-19,197.64,0.0041,0,134000,0.0,701.6408,138672.28,18203.4
2023-05-22,199.47,0.0061,0,134000,0.0,701.6408,139956.28,18314.4
2023-05-23,198.95,0.0018,0,134000,0.0,701.6408,139591.43,18348.0
2023-05-24,199.15,-0.0034,4000,138000,20.0854,721.7261,143731.76,18285.4
2023-05-25,199.49,0.002,0,138000,0.0,721.7261,143977.15,18321.15
2023-05-26,202.28,0.0097,0,138000,0.0,721.7261,145990.76,18499.35
2023-05-29,204.0,0.0054,0,138000,0.0,721.7261,147232.13,18598.65
2023-05-30,203.83,0.0019,0,138000,0.0,721.7261,147109.44,18633.85
2023-05-31,203.71,-0.0053,5000,143000,24.5447,746.2708,152022.83,18534.4
2023-06-01,203.19,-0.0025,1000,144000,4.9215,751.1923,152634.77,18487.75
2023-06-02,205.8,0.0025,0,144000,0.0,751.1923,154595.38,18534.1
2023-06-05,207.1,0.0032,0,144000,0.0,751.1923,155571.93,18593.85
2023-06-06,208.0,0.0003,0,144000,0.0,751.1923,156248.0,18599.0
2023-06-07,211.02,0.0068,0,144000,0.0,751.1923,158516.61,18726.4
2023-06-08,211.34,-0.0049,5000,149000,23.6586,774.8509,163756.99,18634.55
2023-06-09,209.49,-0.0038,1000,150000,4.7735,779.6244,163323.51,18563.4
2023-06-12,210.96,0.0021,0,150000,0.0,779.6244,164469.56,18601.5
2023-06-13,210.22,0.0062,0,150000,0.0,779.6244,163892.64,18716.15
2023-06-14,212.32,0.0021,0,150000,0.0,779.6244,165529.85,18755.9
2023-06-15,209.41,-0.0036,4000,154000,19.1013,798.7257,167261.14,18688.1
2023-06-16,212.88,0.0074,0,154000,0.0,798.7257,170032.72,18826.0
2023-06-19,212.0,-0.0037,2000,156000,9.434,808.1596,171329.84,18755.45
2023-06-20,216.92,0.0033,0,156000,0.0,808.1596,175305.99,18816.7
2023-06-21,211.51,0.0021,0,156000,0.0,808.1596,170933.84,18856.85
