Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2024-01-05,54.68,0.0024,58.59,21398.28,0.0,45857.41,0.0,300630.9,0.0,1104.0826,60371.24,21710.8,0.0001829019784560515
2024-01-08,54.14,-0.0091,52.88,21425.46,0.0,46857.41,455.53,300630.9,0.0,1104.0826,59775.03,21513.0,-0.009875728906678094
2024-01-09,54.24,0.0015,52.8,21452.85,0.0,47857.41,0.0,300630.9,0.0,1104.0826,59885.44,21544.85,0.0018470923393931749
2024-01-10,54.5,0.0034,66.64,21488.46,0.0,48857.41,0.0,300630.9,0.0,1104.0826,60172.5,21618.7,0.004793485695354205
2024-01-11,55.0,0.0013,64.73,21524.5,0.0,49857.41,0.0,300630.9,0.0,1104.0826,60724.54,21647.2,0.009174290581245526
2024-01-12,55.11,0.0114,68.36,21560.1,0.0,50857.41,0.0,300630.9,0.0,1104.0826,60845.99,21894.55,0.002000015150382284
2024-01-15,55.35,0.0093,70.56,21592.14,0.0,51857.41,0.0,300630.9,0.0,1104.0826,61110.97,22097.45,0.004354929552465192
2024-01-16,55.22,-0.0029,63.04,21622.82,0.0,52857.41,147.42,300630.9,0.0,1104.0826,60967.44,22032.3,-0.002348678150584038
2024-01-17,54.61,-0.0209,44.2,21628.76,28473.42,26428.7,1044.72,329104.32,521.3957,1625.4783,88767.37,21571.95,0.455979946017087
2024-01-18,54.31,-0.0051,42.71,21644.37,14468.62,13214.35,254.27,343572.94,266.408,1891.8863,102748.34,21462.25,0.15750123046340114
2024-01-19,54.94,0.0075,47.01,21662.74,0.0,14214.35,0.0,343572.94,0.0,1891.8863,103940.23,21622.4,0.011600090084180392
2024-01-20,55.3,-0.0023,47.61,21673.86,0.0,15214.35,117.01,343572.94,0.0,1891.8863,104621.31,21571.8,0.006552612015578552
2024-01-23,53.56,-0.0154,43.54,21663.73,9379.02,7607.18,771.84,352951.96,175.1123,2066.9986,110708.45,21238.8,0.058182601613380625
2024-01-24,54.58,0.0101,45.41,21653.69,0.0,8607.18,0.0,352951.96,0.0,2066.9986,112816.79,21453.95,0.019044074774779984
2024-01-25,54.28,-0.0047,42.14,21632.38,5539.79,4303.59,236.2,358491.75,102.0595,2169.0582,117736.48,21352.6,0.04360778213952021
2024-01-29,55.15,0.018,54.56,21632.69,0.0,5303.59,0.0,358491.75,0.0,2169.0582,119623.56,21737.6,0.016027997439705954
2024-01-30,55.0,-0.0099,49.57,21621.7,0.0,6303.59,495.68,358491.75,0.0,2169.0582,119298.2,21522.1,-0.0027198655515685566
2024-01-31,55.51,0.0095,51.93,21624.7,0.0,7303.59,0.0,358491.75,0.0,2169.0582,120404.42,21725.7,0.009272730016043784
2024-02-01,55.83,-0.0013,50.9,21633.7,0.0,8303.59,65.02,358491.75,0.0,2169.0582,121098.52,21697.45,0.005764738537007208
2024-02-02,56.37,0.0072,49.24,21643.46,0.0,9303.59,0.0,358491.75,0.0,2169.0582,122269.81,21853.8,0.009672207389487486
2024-02-05,56.04,-0.0038,43.65,21646.51,0.0,10303.59,187.84,358491.75,0.0,2169.0582,121554.02,21771.7,-0.0058541842831030255
