date,nav,invested_today,extra_amount,carry_over,total_invested,total_units,portfolio_value,MA,RSI,daily_ret
2023-11-21,13.33,1000.0,0.0,14790.557212024094,755779.3591192993,69313.20655150461,923945.0433315565,12.875,96.51162790697681,0.002587745814125686
2023-11-22,13.32,1000.0,0.0,15790.557212024094,756779.3591192993,69388.28162657969,924251.9112660415,12.913,96.51162790697681,0.000332127908147406
2023-11-23,13.31,1000.0,0.0,16790.557212024094,757779.3591192993,69463.41310666985,924558.0284497757,12.956,94.66666666666677,0.0003312053564648032
2023-11-24,13.31,1000.0,0.0,17790.557212024094,758779.3591192993,69538.54458676,925558.0284497758,13.004500000000002,93.65079365079377,0.0010815978762055423
2023-11-28,13.36,1000.0,0.0,18790.557212024094,759779.3591192993,69613.3948861612,930034.9556791136,13.0465,92.85714285714297,0.004837003290691921
2023-11-29,13.48,1000.0,0.0,19790.557212024094,760779.3591192993,69687.57886242234,939388.5630654531,13.092000000000002,93.54838709677432,0.010057264331005067
2023-11-30,13.61,1000.0,0.0,20790.557212024094,761779.3591192993,69761.0542481681,949447.9483175678,13.146,94.11764705882364,0.010708439135439951
2023-12-01,13.71,1000.0,0.0,21790.557212024094,762779.3591192993,69833.99370841609,957424.0537423847,13.2055,94.66666666666679,0.008400782200804757
2023-12-04,13.94,1000.0,0.0,22790.557212024094,763779.3591192993,69905.72971989385,974485.8722953202,13.270500000000002,95.83333333333341,0.017820545124434872
2023-12-05,13.99,1000.0,0.0,23790.557212024094,764779.3591192993,69977.20934819977,978981.1587813149,13.332000000000003,95.69892473118287,0.00461298271611299
2023-12-06,13.99,1000.0,0.0,24790.557212024094,765779.3591192993,70048.6889765057,979981.1587813147,13.3875,95.12195121951228,0.00102147011822451
2023-12-07,13.98,1000.0,0.0,25790.557212024094,766779.3591192993,70120.21973473174,980280.6718915497,13.4395,93.42105263157907,0.0003056314986784603
2023-12-08,13.99,1000.0,0.0,26790.557212024094,767779.3591192993,70191.69936303767,981981.874088897,13.488499999999998,93.42105263157907,0.0017354235844155852
2023-12-11,14.05,1000.0,0.0,27790.557212024094,768779.3591192993,70262.87374026187,987193.3760506794,13.538999999999998,96.25000000000007,0.005307126434098031
2023-12-12,14.01,1000.0,0.0,28790.557212024094,769779.3591192993,70334.25132769941,985382.8611010688,13.586499999999997,91.4634146341463,-0.001834002327744222
2023-12-13,14.12,1000.0,0.0,29790.557212024094,770779.3591192993,70405.07285744445,994119.6287471156,13.635499999999999,93.47826086956516,0.008866368587215234
2023-12-14,14.27,1000.0,0.0,30790.557212024094,771779.3591192993,70475.14994223772,1005680.3896757322,13.6865,95.28301886792447,0.011629144616313924
2023-12-15,14.36,1000.0,0.0,31790.557212024094,772779.3591192993,70544.78782524608,1013023.1531705337,13.738499999999998,95.65217391304341,0.007301289326292926
2023-12-18,14.36,1000.0,0.0,32790.5572120241,773779.3591192993,70614.42570825444,1014023.1531705337,13.790000000000001,95.4545454545454,0.0009871442689837195
2023-12-19,14.37,1000.0,0.0,33790.5572120241,774779.3591192993,70684.01513066223,1015729.2974276162,13.843,94.94949494949488,0.0016825496062371492
2023-12-20,14.11,1000.0,0.0,34790.5572120241,775779.3591192993,70754.88685284508,998351.4534936441,13.882,72.32142857142856,-0.017108735543990172
2023-12-21,14.22,1000.0,0.0,35790.5572120241,776779.3591192993,70825.21034089009,1007134.4910474571,13.926999999999998,72.5663716814159,0.008797540708813001
2023-12-22,14.31,1000.0,0.0,36790.5572120241,777779.3591192993,70895.09154284676,1014508.7599781371,13.976999999999999,68.6868686868687,0.007322029973385602
2023-12-26,14.36,1000.0,0.0,37790.5572120241,778779.3591192993,70964.72942585511,1019053.5145552794,14.029499999999999,68.68686868686865,0.004479758831496206
2023-12-27,14.46,1000.0,0.0,38790.5572120241,779779.3591192993,71033.88571907779,1027149.987497865,14.0845,71.55963302752293,0.007945091034909035
2023-12-28,14.49,1000.0,0.0,39790.5572120241,780779.3591192993,71102.89883156917,1030281.0040694373,14.135,72.97297297297294,0.003048256447142128
2023-12-29,14.51,1000.0,0.0,40790.5572120241,781779.3591192993,71171.81681916393,1032703.0620460686,14.179999999999998,73.21428571428567,0.0023508712351918426
2024-01-01,14.49,1000.0,0.0,41790.5572120241,782779.3591192993,71240.8299316553,1032279.6257096854,14.219,70.37037037037035,-0.00041002719169269675
2024-01-02,14.45,1000.0,0.0,42790.5572120241,783779.3591192993,71310.03408390444,1030429.992512419,14.244499999999999,70.37037037037035,-0.001791794733907226
2024-01-03,14.45,1000.0,0.0,43790.5572120241,784779.3591192993,71379.23823615357,1031429.992512419,14.267500000000002,67.0103092783505,0.0009704686463578582
2024-01-04,14.62,1000.0,0.0,44790.5572120241,785779.3591192993,71447.63768895796,1044564.4630125653,14.299000000000001,67.67676767676767,0.01273423363242765
2024-01-05,14.68,1000.0,0.0,45790.5572120241,786779.3591192993,71515.75757996613,1049851.3212739027,14.333999999999998,66.66666666666666,0.005061303967865971
2024-01-08,14.61,1000.0,0.0,46790.5572120241,787779.3591192993,71584.20384964443,1045845.2182433051,14.365,62.13592233009708,-0.0038158765431056674
2024-01-09,14.69,1000.0,0.0,47790.5572120241,788779.3591192993,71652.27736904538,1052571.9545512765,14.397,64.54545454545453,0.006431866007161391
2024-01-10,14.7,1000.0,0.0,48790.5572120241,789779.3591192993,71720.30457992973,1054288.4773249668,14.4315,84.7058823529411,0.0016307890080751175
2024-01-11,14.75,1000.0,0.0,49790.5572120241,790779.3591192993,71788.10119009922,1058874.4925539633,14.463,83.54430379746827,0.0043498675434949785
2024-01-12,14.86,1000.0,0.0,50790.5572120241,791779.3591192993,71855.39594110864,1067771.1836848743,14.492499999999998,83.95061728395054,0.00840202610741203
2024-01-15,14.88,1000.0,0.0,51790.5572120241,792779.3591192993,71922.60024218391,1070208.2916036965,14.5185,83.3333333333333,0.0022824252574524806
2024-01-16,14.84,1000.0,0.0,52790.5572120241,793779.3591192993,71989.98568692784,1068331.3875940093,14.5425,76.38888888888873,-0.0017537744983032733
2024-01-17,14.62,1000.0,0.0,53790.5572120241,794779.3591192993,72058.38513973223,1053493.5907428851,14.555000000000001,57.14285714285705,-0.01388875869737416
2024-01-18,14.53,1000.0,0.0,54790.5572120241,795779.3591192993,72127.20826430208,1048008.3360803092,14.575999999999999,51.020408163265294,-0.005206728081475931
2024-01-19,14.71,1000.0,0.0,55790.5572120241,796779.3591192993,72195.1892296318,1061991.2335678837,14.6005,59.64912280701752,0.013342353305959787
2024-01-23,14.49,1000.0,0.0,56790.5572120241,797779.3591192993,72264.20234212317,1047108.2919373647,14.6095,51.515151515151544,-0.014014185014049496
2024-01-24,14.66,1000.0,0.0,57790.5572120241,798779.3591192993,72332.41516613409,1060393.2063355257,14.624500000000001,57.04697986577181,0.012687240183707482
2024-01-25,14.63,1000.0,0.0,58790.5572120241,799779.3591192993,72400.76786606574,1059223.2338805418,14.633000000000001,50.37037037037042,-0.00110333831638465
2024-01-29,14.81,1000.0,0.0,59790.5572120241,800779.3591192993,72468.28981069775,1073255.3720964338,14.649000000000001,54.42176870748301,0.013247574040161636
