Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2024-10-18,21755.65,0.0017,38.4,22052.32,0.0,11536.87,0.0,222088.31,0.0,11.4756,249658.95,21755.65,0.0017105304389717357
2024-10-21,21429.9,-0.015,34.72,22011.01,7517.09,5768.43,748.66,229605.4,0.3508,11.8264,253437.87,21429.9,0.015136328979994396
2024-10-22,20879.45,-0.0257,27.73,21933.8,5168.52,2884.22,1284.3,234773.92,0.2475,12.0739,252096.56,20879.45,-0.005292460830735313
2024-10-23,20985.25,0.0051,34.67,21858.38,0.0,3884.22,0.0,234773.92,0.0,12.0739,253373.98,20985.25,0.005067185367384708
2024-10-24,20932.75,-0.0025,36.39,21787.15,3067.2,1942.11,125.09,237841.12,0.1465,12.2204,255807.3,20932.75,0.009603669642794355
2024-10-25,20563.7,-0.0176,37.4,21696.94,2852.57,971.05,881.51,240693.68,0.1387,12.3592,254149.91,20563.7,-0.006479056696192753
2024-10-28,20695.55,0.0064,30.13,21613.68,0.0,1971.05,0.0,240693.68,0.0,12.3592,255779.47,20695.55,0.006411806323283864
2024-10-29,20867.4,0.0083,28.38,21541.45,0.0,2971.05,0.0,240693.68,0.0,12.3592,257903.39,20867.4,0.008303715696963643
2024-10-30,20916.7,0.0024,30.2,21468.3,0.0,3971.05,0.0,240693.68,0.0,12.3592,258512.69,20916.7,0.0023625125672057656
2024-10-31,20876.7,-0.0019,26.97,21416.9,3081.14,1985.53,95.62,243774.83,0.1476,12.5067,261099.47,20876.7,0.010006394657066986
2024-11-01,21021.1,0.0069,28.89,21382.42,0.0,2985.53,0.0,243774.83,0.0,12.5067,262905.45,21021.1,0.006916827521710411
2024-11-04,20767.4,-0.0121,24.24,21357.57,3096.2,1492.76,603.44,246871.03,0.1491,12.6558,262828.69,20767.4,-0.00029196808206144453
2024-11-05,20862.1,0.0046,27.29,21316.39,0.0,2492.76,0.0,246871.03,0.0,12.6558,264027.2,20862.1,0.004560042512862683
2024-11-06,21298.5,0.0209,42.4,21285.4,0.0,3492.76,0.0,246871.03,0.0,12.6558,269550.2,21298.5,0.020918299326736056
2024-11-07,21194.85,-0.0049,40.09,21250.86,2989.71,1746.38,243.33,249860.74,0.1411,12.7969,271228.13,21194.85,0.006224925820867533
2024-11-08,20919.9,-0.013,40.82,21197.9,2521.82,873.19,648.62,252382.56,0.1205,12.9174,270231.45,20919.9,-0.0036746925918045292
2024-11-11,20749.95,-0.0081,47.3,21132.46,0.0,1873.19,406.19,252382.56,0.0,12.9174,268036.13,20749.95,-0.00812385086931966
2024-11-12,20560.6,-0.0091,41.44,21054.05,2392.86,936.6,456.27,254775.42,0.1164,13.0338,267983.07,20560.6,-0.00019795838717717729
2024-11-13,20010.75,-0.0267,34.53,20950.34,2805.44,468.3,1337.14,257580.86,0.1402,13.174,263621.87,20010.75,-0.016274162393915437
2024-11-14,20105.25,0.0047,41.52,20869.67,0.0,1468.3,0.0,257580.86,0.0,13.174,264866.82,20105.25,0.004722483760546847
2024-11-18,20068.55,-0.0018,37.99,20785.32,1825.42,734.15,91.27,259406.28,0.091,13.265,266208.75,20068.55,0.005066433009615956
2024-11-19,20258.1,0.0094,38.4,20726.73,0.0,1734.15,0.0,259406.28,0.0,13.265,268723.12,20258.1,0.009445106518850332
2024-11-21,20180.9,-0.0038,36.14,20691.8,2057.62,867.07,190.54,261463.9,0.102,13.3669,269756.68,20180.9,0.0038461893416539272
2024-11-22,20412.65,0.0115,41.85,20663.17,0.0,1867.07,0.0,261463.9,0.0,13.3669,272854.47,20412.65,0.0114836451872109
2024-11-25,20725.7,0.0153,45.1,20652.82,0.0,2867.07,0.0,261463.9,0.0,13.3669,277038.99,20725.7,0.015336087402196608
2024-11-26,20735.1,0.0005,49.42,20661.39,0.0,3867.07,0.0,261463.9,0.0,13.3669,277164.64,20735.1,0.0004535462679819968
2024-11-27,20838.2,0.005,49.57,20668.52,0.0,4867.07,0.0,261463.9,0.0,13.3669,278542.77,20838.2,0.004972243212554073
2024-11-28,20839.9,0.0001,40.22,20667.14,0.0,5867.07,0.0,261463.9,0.0,13.3669,278565.49,20839.9,8.156736575859469e-05
2024-11-29,20906.65,0.0032,43.76,20666.64,0.0,6867.07,0.0,261463.9,0.0,13.3669,279457.73,20906.65,0.0032029811014997467
2024-12-02,21105.95,0.0095,54.17,20678.1,0.0,7867.07,0.0,261463.9,0.0,13.3669,282121.76,21105.95,0.009532854933016255
2024-12-03,21291.35,0.0088,62.04,20691.62,0.0,8867.07,0.0,261463.9,0.0,13.3669,284599.99,21291.35,0.008784256840025373
2024-12-04,21485.15,0.0091,70.53,20727.5,0.0,9867.07,0.0,261463.9,0.0,13.3669,287190.5,21485.15,0.009102284227065605
2024-12-05,21577.65,0.0043,93.65,20763.28,0.0,10867.07,0.0,261463.9,0.0,13.3669,288426.94,21577.65,0.004305295613886928
2024-12-06,21665.4,0.0041,93.63,20781.63,0.0,11867.07,0.0,261463.9,0.0,13.3669,289599.89,21665.4,0.00406671443381823
2024-12-09,21748.5,0.0038,95.79,20809.31,0.0,12867.07,0.0,261463.9,0.0,13.3669,290710.68,21748.5,0.003835602285622297
2024-12-10,21809.1,0.0028,95.47,20853.77,0.0,13867.07,0.0,261463.9,0.0,13.3669,291520.72,21809.1,0.0027864129381141023
2024-12-11,21879.55,0.0032,100.0,20910.25,0.0,14867.07,0.0,261463.9,0.0,13.3669,292462.42,21879.55,0.003230302120549089
2024-12-12,21770.05,-0.005,93.05,20970.72,0.0,15867.07,250.23,261463.9,0.0,13.3669,290998.74,21770.05,-0.005004677182114503
2024-12-13,21748.1,-0.001,89.77,21057.59,0.0,16867.07,50.41,261463.9,0.0,13.3669,290705.34,21748.1,-0.0010082517883065467
2024-12-16,21898.8,0.0069,90.79,21147.27,0.0,17867.07,0.0,261463.9,0.0,13.3669,292719.73,21898.8,0.0069293188766328395
2024-12-17,21754.1,-0.0066,81.19,21231.54,0.0,18867.07,330.38,261463.9,0.0,13.3669,290785.54,21754.1,-0.006607651626352684
2024-12-18,21623.1,-0.006,74.51,21299.8,0.0,19867.07,301.09,261463.9,0.0,13.3669,289034.47,21623.1,-0.006021860646853394
2024-12-19,21571.3,-0.0024,71.0,21369.32,0.0,20867.07,119.78,261463.9,0.0,13.3669,288342.06,21571.3,-0.0023955966220914338
2024-12-20,21050.6,-0.0241,48.55,21401.21,0.0,21867.07,1206.93,261463.9,0.0,13.3669,281381.9,21050.6,-0.024138552662070767
2024-12-23,21076.15,0.0012,43.83,21418.74,0.0,22867.07,0.0,261463.9,0.0,13.3669,281723.43,21076.15,0.0012137596625794167
2024-12-24,21080.7,0.0002,36.99,21436.02,0.0,23867.07,0.0,261463.9,0.0,13.3669,281784.25,21080.7,0.00021588548740880675
2024-12-26,21096.85,0.0008,33.74,21448.95,0.0,24867.07,0.0,261463.9,0.0,13.3669,282000.12,21096.85,0.0007660825613922118
2024-12-27,21071.85,-0.0012,29.04,21460.54,13492.79,12433.54,59.25,274956.68,0.6403,14.0073,295158.74,21071.85,0.046661753193580235
2024-12-30,21109.25,0.0018,26.67,21470.68,0.0,13433.54,0.0,274956.68,0.0,14.0073,295682.61,21109.25,0.0017748754449893323
2024-12-31,21141.2,0.0015,25.1,21472.44,0.0,14433.54,0.0,274956.68,0.0,14.0073,296130.14,21141.2,0.0015135485986139674
2025-01-01,21246.5,0.005,27.0,21470.2,0.0,15433.54,0.0,274956.68,0.0,14.0073,297605.1,21246.5,0.004980783111101061
2025-01-02,21473.15,0.0107,40.06,21469.6,0.0,16433.54,0.0,274956.68,0.0,14.0073,300779.85,21473.15,0.010667659929215034
2025-01-03,21419.3,-0.0025,39.22,21461.68,9342.16,8216.77,125.39,284298.84,0.4362,14.4434,309367.72,21419.3,0.028552012377158986
2025-01-06,20879.65,-0.0252,23.38,21422.39,6368.11,4108.38,1259.73,290666.95,0.305,14.7484,307941.44,20879.65,-0.004610306466362957
2025-01-07,21060.8,0.0087,32.23,21388.0,0.0,5108.38,0.0,290666.95,0.0,14.7484,310613.11,21060.8,0.008675902795024948
2025-01-08,20840.3,-0.0105,30.82,21339.56,4077.68,2554.19,523.48,294744.63,0.1957,14.9441,311438.77,20840.3,0.002658162110414475
2025-01-09,20674.25,-0.008,29.18,21279.3,2675.48,1277.1,398.39,297420.11,0.1294,15.0735,311632.79,20674.25,0.000622979598846829
2025-01-10,20252.95,-0.0204,30.59,21203.44,2657.45,638.55,1018.9,300077.56,0.1312,15.2047,307939.78,20252.95,-0.011850518040800395
2025-01-13,19458.3,-0.0392,21.36,21088.96,3281.09,319.27,1961.81,303358.65,0.1686,15.3733,299138.47,19458.3,-0.028581270013247617
2025-01-14,19883.35,0.0218,31.55,20988.18,0.0,1319.27,0.0,303358.65,0.0,15.3733,305672.89,19883.35,0.02184413124798046
2025-01-15,19955.4,0.0036,32.71,20898.25,0.0,2319.27,0.0,303358.65,0.0,15.3733,306780.54,19955.4,0.0036236448708288904
2025-01-16,20172.65,0.0109,37.13,20825.72,0.0,3319.27,0.0,303358.65,0.0,15.3733,310120.39,20172.65,0.010886772674694623
2025-01-17,20195.9,0.0012,36.87,20756.95,0.0,4319.27,0.0,303358.65,0.0,15.3733,310477.82,20195.9,0.0011525524006983368
2025-01-20,20350.9,0.0077,39.03,20721.97,0.0,5319.27,0.0,303358.65,0.0,15.3733,312860.68,20350.9,0.00767481554721039
2025-01-21,19946.3,-0.0199,33.34,20665.48,4653.7,2659.64,994.06,308012.35,0.2333,15.6066,311294.34,19946.3,-0.0050065096067679615
2025-01-22,19696.9,-0.0125,27.37,20596.29,2955.0,1329.82,625.18,310967.34,0.15,15.7566,310357.04,19696.9,-0.0030109766852813857
2025-01-23,20047.95,0.0178,33.76,20543.84,0.0,2329.82,0.0,310967.34,0.0,15.7566,315888.41,20047.95,0.017822601994141873
2025-01-24,19708.95,-0.0169,35.44,20475.7,3010.38,1164.91,845.47,313977.72,0.1527,15.9094,313557.29,19708.95,-0.007379567993646807
2025-01-27,19152.1,-0.0283,28.29,20377.84,2995.14,582.45,1412.68,316972.86,0.1564,16.0658,307693.29,19152.1,-0.01870152660140667
2025-01-28,19019.1,-0.0069,28.87,20271.74,1638.45,291.23,347.22,318611.31,0.0861,16.1519,307194.99,19019.1,-0.0016194698298425125
2025-01-29,19481.75,0.0243,37.05,20183.5,0.0,1291.23,0.0,318611.31,0.0,16.1519,314667.67,19481.75,0.024325526923469676
2025-01-30,19514.25,0.0017,41.24,20085.55,0.0,2291.23,0.0,318611.31,0.0,16.1519,315192.61,19514.25,0.0016682362061535283
2025-01-31,19850.95,0.0173,55.22,20007.14,0.0,3291.23,0.0,318611.31,0.0,16.1519,320630.96,19850.95,0.017254053005874903
2025-02-01,19773.4,-0.0039,48.39,19951.82,0.0,4291.23,195.33,318611.31,0.0,16.1519,319378.38,19773.4,-0.0039066096424376084
2025-02-03,19579.2,-0.0098,44.68,19877.74,3636.68,2145.61,491.06,322247.99,0.1857,16.3377,319878.36,19579.2,0.0015654785399061844
2025-02-04,19849.15,0.0138,45.49,19828.19,0.0,3145.61,0.0,322247.99,0.0,16.3377,324288.71,19849.15,0.013787584755655447
2025-02-05,19995.7,0.0074,47.3,19794.26,0.0,4145.61,0.0,322247.99,0.0,16.3377,326682.99,19995.7,0.007383174085832334
2025-02-06,19793.75,-0.0101,42.58,19771.3,0.0,5145.61,504.98,322247.99,0.0,16.3377,323383.6,19793.75,-0.010099668795121586
2025-02-07,19819.6,0.0013,48.12,19789.36,0.0,6145.61,0.0,322247.99,0.0,16.3377,323805.93,19819.6,0.0013059722261734574
2025-02-10,19406.95,-0.0208,45.91,19765.54,0.0,7145.61,1041.01,322247.99,0.0,16.3377,317064.19,19406.95,-0.02082031048659294
2025-02-11,18837.0,-0.0294,33.89,19709.62,6041.22,3572.81,1468.42,328289.21,0.3207,16.6584,313793.77,18837.0,-0.010314693690258725
2025-02-12,18766.85,-0.0037,36.5,19639.33,2972.61,1786.4,186.2,331261.82,0.1584,16.8168,315597.79,18766.85,0.005749062513255021
2025-02-13,18796.8,0.0016,44.01,19569.38,0.0,2786.4,0.0,331261.82,0.0,16.8168,316101.45,18796.8,0.0015958920371401675
2025-02-14,18346.8,-0.0239,39.75,19469.17,3590.21,1393.2,1197.01,334852.03,0.1957,17.0125,312124.12,18346.8,-0.012582447818572207
2025-02-17,18408.45,0.0034,31.36,19392.28,0.0,2393.2,0.0,334852.03,0.0,17.0125,313172.94,18408.45,0.0033602657814462145
2025-02-18,18375.85,-0.0018,30.23,19326.23,2285.15,1196.6,88.55,337137.18,0.1244,17.1368,314903.48,18375.85,0.005525828636407715
2025-02-19,18644.9,0.0146,28.56,19256.08,0.0,2196.6,0.0,337137.18,0.0,17.1368,319514.14,18644.9,0.01464150221521865
2025-02-20,18888.8,0.0131,35.15,19215.07,0.0,3196.6,0.0,337137.18,0.0,17.1368,323693.81,18888.8,0.013081330297306959
2025-02-21,18681.35,-0.011,34.99,19191.53,3147.44,1598.3,549.13,340284.61,0.1685,17.3053,323286.21,18681.35,-0.001259214688102861
2025-02-24,18503.9,-0.0095,26.8,19165.77,2274.09,799.15,474.94,342558.7,0.1229,17.4282,322489.47,18503.9,-0.0024645035122284886
2025-02-25,18408.75,-0.0051,22.14,19112.12,1656.68,399.58,257.11,344215.39,0.09,17.5182,322487.86,18408.75,-4.992411069992819e-06
2025-02-27,18176.85,-0.0126,21.91,19045.25,1829.65,199.79,629.86,346045.04,0.1007,17.6188,320255.05,18176.85,-0.006923702492242612
2025-02-28,17750.55,-0.0235,18.44,18940.23,2272.54,99.89,1172.65,348317.58,0.128,17.7469,315016.68,17750.55,-0.016356869314004596
2025-03-03,17778.55,0.0016,21.86,18840.49,0.0,1099.89,0.0,348317.58,0.0,17.7469,315513.59,17778.55,0.0015774085359545609
2025-03-04,17807.3,0.0016,28.11,18751.89,0.0,2099.89,0.0,348317.58,0.0,17.7469,316023.81,17807.3,0.001617109424668417
2025-03-05,18240.15,0.0243,40.3,18671.44,0.0,3099.89,0.0,348317.58,0.0,17.7469,323705.54,18240.15,0.024307440632400423
2025-03-06,18341.0,0.0055,41.82,18588.71,0.0,4099.89,0.0,348317.58,0.0,17.7469,325495.31,18341.0,0.005529006392661628
2025-03-07,18290.6,-0.0027,48.82,18513.55,0.0,5099.89,137.4,348317.58,0.0,17.7469,324600.87,18290.6,-0.0027479351392191154
2025-03-10,18031.1,-0.0142,42.7,18424.12,4259.33,2549.95,709.38,352576.9,0.2362,17.9831,324254.89,18031.1,-0.0010658628240891588
2025-03-11,18106.9,0.0042,44.88,18359.12,0.0,3549.95,0.0,352576.9,0.0,17.9831,325618.01,18106.9,0.004203853332790164
2025-03-12,18014.25,-0.0051,37.13,18317.98,3030.82,1774.97,255.84,355607.72,0.1682,18.1513,326982.69,18014.25,0.0041910458208376244
2025-03-13,17902.0,-0.0062,28.73,18274.74,2199.05,887.49,311.56,357806.77,0.1228,18.2742,327144.25,17902.0,0.0004940934335087022
2025-03-17,18037.25,0.0076,35.67,18236.76,0.0,1887.49,0.0,357806.77,0.0,18.2742,329615.83,18037.25,0.007555015868382364
2025-03-18,18408.4,0.0206,48.04,18239.84,0.0,2887.49,0.0,357806.77,0.0,18.2742,336398.29,18408.4,0.020576863677936652
2025-03-19,18844.4,0.0237,57.83,18261.64,0.0,3887.49,0.0,357806.77,0.0,18.2742,344365.83,18844.4,0.023684840966343934
