INDEX,CURRENT,PCNT_CHNG,OPEN,HIGH,LOW,INDICATIVE_CLOSE,PREV_CLOSE,PREV_DAY27_Feb_2026,1W_AGO_20-Feb-2026,1M_AGO27-Jan-2026,1Y_AGO_25-Feb-2025,52W_H,52W_L,30_D_PCNT_CHNG,365_D_PCNT_CHNG
"NIFTY CORE HOUSING","14,813.80","-1.79","14,609.15","14,896.30","14,608.75","-","15,084.20","15,084.20","15,276.95","14,656.00","14,388.95","17,961.70","13,680.90",1.79,7.55
"NIFTY HOUSING","11,783.45","-2.01","11,647.60","11,891.30","11,639.35","-","12,025.55","12,025.55","12,086.45","11,418.15","10,138.45","12,386.30","9,839.70",3.09,18.9
"NIFTY IPO","1,907.20","-2.09","1,858.50","1,920.05","1,858.30","-","1,947.85","1,947.85","1,956.60","1,890.80","1,820.45","2,387.55","1,617.15",-0.2,9.51
"NIFTY MIDSMALL INDIA CONSUMPTION","17,722.20","-1.78","17,442.25","17,889.55","17,438.65","-","18,043.90","18,043.90","18,172.45","17,251.20","17,533.75","20,923.30","14,493.40",2.43,3.45
"NIFTY NON-CYCLICAL CONSUMER","14,670.85","-1.52","14,493.05","14,766.55","14,490.90","-","14,897.05","14,897.05","15,239.65","14,927.75","14,579.10","18,289.65","13,081.55",-1.06,3.91
"NIFTY RURAL","15,778.30","-1.50","15,595.35","15,897.10","15,584.50","-","16,018.75","16,018.75","16,191.00","15,491.60","13,398.00","16,396.40","12,304.35",2.77,21.8
"NIFTY SHARIAH 25","7,811.70","-1.33","7,738.15","7,862.70","7,735.90","-","7,917.30","7,917.30","8,004.55","8,279.10","7,757.35","9,449.55","7,121.55",-5.05,4.24
"NIFTY TRANSPORTATION & LOGISTICS","24,541.75","-2.60","24,267.55","24,936.65","24,254.85","-","25,197.50","25,197.50","25,341.50","24,122.35","20,317.95","26,459.70","16,828.35",0.36,26.06
"NIFTY50 SHARIAH","4,388.10","-1.17","4,356.85","4,421.20","4,355.60","-","4,440.25","4,440.25","4,512.65","4,849.15","4,565.50","5,677.90","4,235.90",-7.88,-0.54
"NIFTY500 SHARIAH","6,748.30","-1.42","6,646.15","6,799.55","6,644.80","-","6,845.45","6,845.45","6,879.25","6,936.60","6,509.65","8,238.85","6,004.55",-2.76,7.72
"NIFTY SME EMERGE","12,513.50","-1.48","12,500.05","12,562.40","12,473.05","-","12,701.65","12,701.65","13,073.03","12,750.75","13,395.06","17,223.65","11,930.10",-1.22,-1.2
"NIFTY INDIA INTERNET","1,158.80","-2.00","1,141.95","1,174.95","1,141.90","-","1,182.45","1,182.45","1,252.95","1,263.30","-","1,501.90","1,056.45",-8.66,0
"NIFTY WAVES","1,862.60","-2.10","1,847.30","1,875.55","1,847.15","-","1,902.65","1,902.65","1,951.50","1,888.65","-","2,789.80","1,839.00",-1.19,0
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11,209.70","-1.94","11,004.15","11,321.70","11,001.95","-","11,431.15","11,431.15","11,500.05","10,671.05","-","11,820.05","9,210.40",2.37,0
"NIFTY INDIA RAILWAYS PSU","3,122.00","-2.55","3,085.80","3,168.65","3,083.20","-","3,203.55","3,203.55","3,313.55","3,244.20","3,329.17","4,005.50","3,099.40",-5.32,0.57
"NIFTY CONGLOMERATE 50","14,307.55","-2.26","14,206.40","14,477.40","14,199.60","-","14,638.90","14,638.90","14,808.90","14,311.11","12,893.10","15,284.30","12,226.80",-0.46,14.39
"NIFTY 8-13 YR G-SEC","2,988.21","-0.19","2,994.68","2,994.70","2,988.21","-","2,994.16","2,991.98","2,978.80","2,962.32","2,802.48","-","-",1.05,6.66
"NIFTY 10 YR BENCHMARK G-SEC","2,625.18","-0.21","2,631.18","2,631.19","2,624.47","-","2,630.71","2,628.80","2,615.51","2,605.53","2,479.88","-","-",1.02,5.88
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","886.01","-0.23","888.09","888.09","885.76","-","888.09","888.08","884.60","884.87","893.32","-","-",0.49,-0.7
"NIFTY 4-8 YR G-SEC INDEX","3,265.11","-","3,265.79","3,265.89","3,265.11","-","3,265.20","3,262.92","3,248.15","3,221.52","3,026.84","-","-",1.28,7.83
"NIFTY 11-15 YR G-SEC INDEX","3,263.81","-0.33","3,275.41","3,286.60","3,263.71","-","3,274.80","3,272.30","3,255.68","3,225.99","3,094.23","-","-",1.56,5.79
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,492.79","-0.42","3,508.40","3,508.40","3,488.14","-","3,507.70","3,504.87","3,461.93","3,457.38","3,385.36","-","-",1.37,3.59
"NIFTY COMPOSITE G-SEC INDEX","3,071.08","-0.18","3,077.27","3,079.27","3,070.74","-","3,076.72","3,074.46","3,056.44","3,040.45","2,894.62","-","-",1.21,6.22
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,575.83","0.01","1,575.85","1,575.85","1,575.83","-","1,574.95","1,574.95","1,572.75","1,559.90","1,465.97","-","-",1,7.72
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,431.18","0.01","1,431.17","1,431.18","1,431.17","-","1,430.36","1,430.36","1,430.14","1,417.73","1,339.02","-","-",0.92,7.15
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,301.49","0.01","1,301.49","1,301.49","1,301.49","-","1,300.75","1,300.75","1,300.88","1,289.31","1,221.03","-","-",1.03,6.81
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,264.03","0.01","1,264.03","1,264.03","1,264.03","-","1,263.30","1,263.30","1,262.09","1,252.52","1,187.70","-","-",1.03,6.67
